Order Number,Date,last_name,first_name,State,Area,Material,Tax,CPSF,LCPSF,MaterialCost,LaborCost,TotalCost
46466,05/18/2009,Finn,Leilah,AR,952,Wood,5.7824,5.15,4.75,4902.8,4522,9969.779635
53180,05/16/2012,Cudby,Omero,TX,170,Laminate,5.0723,3.5,4.15,595,705.5,1366.465262
34268,09/23/2012,Diem,Andre,TX,362,Wood,5.4888,5.15,4.75,1864.3,1719.5,3780.507614
34903,06/17/2014,Reeken,Olva,NY,191,Tile,6.7821,1.75,2.1,334.25,401.1,785.2221724
68987,05/20/1999,Fogt,Briggs,FL,832,Tile,6.6521,1.75,2.1,1456,1747.2,3416.280067
67625,12/25/1998,Mavin,Zia,GA,425,Laminate,6.262,3.5,4.15,1487.5,1763.75,3454.843275
55547,07/14/2006,Wearden,Gilberte,CA,613,Carpet,6.2139,2.25,2.1,1379.25,1287.3,2832.24675
87630,02/20/2010,Hendrich,Lorrie,IA,946,Laminate,6.276,3.5,4.15,3311,3925.9,7691.087844
32441,01/19/1995,Brayson,Windham,NM,121,Wood,5.2085,5.15,4.75,623.15,574.75,1260.292622
44523,05/06/2009,Jakubiak,Trev,NY,302,Tile,6.0429,1.75,2.1,528.5,634.2,1232.960798
52920,02/14/2014,Rozycki,Dynah,TX,597,Carpet,6.4047,2.25,2.1,1343.25,1253.7,2763.276857
45570,11/24/1998,Diddams,Tiphany,WA,703,Wood,6.126,5.15,4.75,3620.45,3339.25,7386.051222
75173,12/09/2000,Coytes,Elyssa,PA,559,Laminate,6.864,3.5,4.15,1956.5,2319.85,4569.878664
76114,10/17/2001,Ingliss,Oneida,MO,540,Tile,5.5616,1.75,2.1,945,1134,2194.625664
19334,06/28/1995,Whittier,Lorrie,CA,859,Wood,5.2552,5.15,4.75,4423.85,4080.25,8951.007463
48470,10/09/2016,Band,Rozele,CA,297,Wood,5.3916,5.15,4.75,1529.55,1410.75,3098.829215
15204,07/30/2007,Abramowitch,Nadean,TX,776,Laminate,5.3352,3.5,4.15,2716,3220.4,6253.118813
64708,02/19/2008,Stoade,Basilius,AR,316,Laminate,5.0097,3.5,4.15,1106,1311.4,2538.504488
34630,08/04/2007,Mosson,Brok,MA,816,Tile,5.0609,1.75,2.1,1428,1713.6,3300.593234
48584,07/30/2007,Laver,Friedrich,LA,589,Wood,6.8487,5.15,4.75,3033.35,2797.75,6230.454546
14283,01/24/2002,Oliva,Frederich,TN,328,Carpet,6.3532,2.25,2.1,738,688.8,1517.447458
46671,01/26/2015,Giblin,Bride,NY,368,Tile,6.696,1.75,2.1,644,772.8,1511.668928
60241,05/02/2001,Vallens,Johann,AL,397,Tile,6.1559,1.75,2.1,694.75,833.7,1622.539854
81967,05/30/2001,Grouer,Orsa,WA,572,Laminate,5.7619,3.5,4.15,2002,2373.8,4627.92922
49981,05/31/2007,Misk,Dalis,FL,187,Carpet,5.6851,2.25,2.1,420.75,392.7,859.695446
65805,08/18/2007,Deackes,Rutter,LA,118,Tile,5.4236,1.75,2.1,206.5,247.8,478.9394148
49226,05/23/1995,Ashborn,Katuscha,PA,156,Tile,6.9051,1.75,2.1,273,327.6,642.0720306
25778,08/13/2015,Colyer,Wren,TX,290,Wood,5.2449,5.15,4.75,1493.5,1377.5,3021.581079
18220,09/21/2013,Ingham,Freddi,ID,783,Wood,6.7054,5.15,4.75,4032.45,3719.25,8271.482492
59525,02/26/2013,Harkins,Justino,CA,550,Tile,5.4931,1.75,2.1,962.5,1155,2233.816393
59968,06/24/2006,Theseira,Jilli,TN,412,Wood,5.2217,5.15,4.75,2121.8,1957,4291.7827
71844,12/25/2006,Tuerena,Katti,TX,684,Tile,6.12,1.75,2.1,1197,1436.4,2794.56408
13539,01/12/2005,Douris,Buiron,OR,560,Laminate,5.842,3.5,4.15,1960,2324,4534.27128
16332,09/13/2005,Hinkensen,Lorraine,VA,398,Tile,5.8127,1.75,2.1,696.5,835.8,1621.368002
86674,07/20/2000,Leroy,Earl,NC,664,Tile,6.2905,1.75,2.1,1162,1394.4,2717.210342
53578,09/24/1995,Willgress,Phelia,OH,510,Tile,5.0313,1.75,2.1,892.5,1071,2062.289576
80091,03/12/1997,Wetter,Nydia,IL,912,Tile,5.9479,1.75,2.1,1596,1915.2,3720.042665
13495,08/04/2011,Arnopp,Kris,VA,471,Laminate,5.6373,3.5,4.15,1648.5,1954.65,3806.270375
62140,09/28/2009,Hullett,Sven,LA,256,Carpet,6.4085,2.25,2.1,576,537.6,1184.965056
82844,03/16/2008,MacGhee,Grethel,MI,390,Carpet,5.5412,2.25,2.1,877.5,819,1790.506458
10682,10/23/1997,Brodley,Brunhilde,IL,957,Tile,5.9765,1.75,2.1,1674.75,2009.7,3904.651154
61832,03/18/2013,Gwinnell,Ritchie,TX,160,Wood,5.3557,5.15,4.75,824,760,1668.834288
79566,07/24/2005,Lamberton,Talbot,OR,650,Laminate,5.3185,3.5,4.15,2275,2697.5,5236.962413
82783,10/05/2013,Berthot,Gerome,NC,639,Tile,6.3615,1.75,2.1,1118.25,1341.9,2616.652442
62699,03/18/2017,Dawnay,Abelard,TN,819,Tile,6.138,1.75,2.1,1433.25,1719.9,3346.690347
30226,12/08/2012,Remmers,Noe,KY,263,Wood,5.496,5.15,4.75,1354.45,1249.25,2746.799352
23304,04/04/2002,MacChaell,Margarete,DE,941,Laminate,5.4065,3.5,4.15,3293.5,3905.15,7587.845012
29732,12/23/1995,Tabner,Rollo,SD,335,Tile,5.3358,1.75,2.1,586.25,703.5,1358.568481
65052,09/08/2012,Gardiner,Elyn,UT,501,Wood,6.0976,5.15,4.75,2580.15,2379.75,5262.334862
87865,11/17/2008,MacKeeg,Denys,OH,321,Wood,5.7067,5.15,4.75,1653.15,1524.75,3359.253219
84618,01/31/2003,Bengough,Davis,NY,300,Tile,5.657,1.75,2.1,525,630,1220.33835
20398,12/14/1995,Jedrzaszkiewicz,Adelbert,TX,974,Tile,6.726,1.75,2.1,1704.5,2045.4,4002.118274
89846,01/12/2011,Tuckwood,Claudetta,TX,718,Wood,6.298,5.15,4.75,3697.7,3410.5,7555.874436
37602,08/30/2015,Cristou,Crichton,CA,949,Carpet,5.6084,2.25,2.1,2135.25,1992.9,4359.673165
48141,10/12/1995,Scarisbrick,Nariko,MO,652,Tile,5.1783,1.75,2.1,1141,1369.2,2640.185687
14999,12/01/2010,Toffanini,Carroll,NY,464,Tile,6.8509,1.75,2.1,812,974.4,1908.784478
47345,11/13/2000,Papaminas,Genny,IN,409,Wood,5.7219,5.15,4.75,2106.35,1942.75,4280.785453
27962,12/06/2009,Morphey,Vinnie,NJ,398,Carpet,6.8131,2.25,2.1,895.5,835.8,1849.2552
32154,07/04/1999,Bernaciak,Frank,PA,503,Laminate,5.139,3.5,4.15,1760.5,2087.45,4045.696151
80316,10/03/2000,Hansbury,Shaine,CA,826,Wood,5.7285,5.15,4.75,4253.9,3923.5,8645.842359
52683,02/21/2010,Rolf,Herman,NC,268,Tile,6.7494,1.75,2.1,469,562.8,1101.440309
85437,11/03/2015,Barthel,Huntington,NC,187,Laminate,5.879,3.5,4.15,654.5,776.05,1514.652035
24703,11/12/2014,Chatteris,Corbin,MN,716,Wood,6.1548,5.15,4.75,3687.4,3401,7524.676843
79469,11/18/1996,Whitloe,Budd,CA,316,Carpet,6.9056,2.25,2.1,711,663.6,1469.524378
22981,02/25/2003,Stubley,Lilly,MD,660,Carpet,5.6502,2.25,2.1,1485,1386,3033.217242
16691,10/04/2007,Alyokhin,Etty,FL,484,Laminate,5.0745,3.5,4.15,1694,2008.6,3890.488437
18061,11/20/2010,McKeag,Amitie,OH,435,Carpet,5.0986,2.25,2.1,978.75,913.5,1988.728259
80854,09/07/2007,Van de Castele,Charmaine,TX,419,Wood,6.5977,5.15,4.75,2157.85,1990.25,4421.779194
27904,06/24/2003,Tolossi,Sheila,WV,210,Tile,5.0438,1.75,2.1,367.5,441,849.279123
45505,03/27/1999,Schechter,Jeana,MN,863,Carpet,6.4483,2.25,2.1,1941.75,1812.3,3996.122406
39920,03/08/1995,Standon,Jabez,IN,694,Laminate,5.9326,3.5,4.15,2429,2880.1,5624.067667
12671,11/26/2002,Pannett,Hillary,CA,694,Tile,6.1695,1.75,2.1,1214.5,1457.4,2836.742871
60643,02/09/2006,McKeeman,Carolus,TN,753,Carpet,6.5098,2.25,2.1,1694.25,1581.3,3488.781754
86736,07/06/2009,Aukland,Alanna,PA,633,Tile,6.569,1.75,2.1,1107.75,1329.3,2597.139815
85698,11/08/2007,Bramble,Carmelina,NE,821,Tile,5.7394,1.75,2.1,1436.75,1724.1,3342.263825
47149,11/02/2009,Emmerson,Harri,FL,981,Laminate,5.7829,3.5,4.15,3433.5,4071.15,7938.636405
73477,05/01/1996,Melding,Lilyan,NY,328,Laminate,5.3976,3.5,4.15,1148,1361.2,2644.636579
60433,10/07/2003,Branthwaite,Evelyn,CT,451,Laminate,6.8617,3.5,4.15,1578.5,1871.65,3686.888943
45932,02/19/2011,Ceillier,Fidelity,TX,587,Tile,6.8357,1.75,2.1,1027.25,1232.7,2414.433402
63990,06/14/2005,Rouff,Konstance,MA,221,Wood,6.3158,5.15,4.75,1138.15,1049.75,2326.083388
48758,06/22/1996,Jachtym,Terri,IL,216,Carpet,6.389,2.25,2.1,486,453.6,999.631044
68809,12/26/2009,Altamirano,Stavros,MO,686,Laminate,5.3567,3.5,4.15,2401,2846.9,5529.014259
13791,03/04/2014,Fossey,Fredrika,AR,860,Laminate,6.5944,3.5,4.15,3010,3569,7012.845576
85315,01/27/1998,Gossipin,Ozzy,CA,954,Laminate,6.1218,3.5,4.15,3339,3959.1,7744.875086
30196,05/07/2003,Pawlata,Melisande,NC,248,Laminate,5.7016,3.5,4.15,868,1029.2,2005.370755
12855,06/10/2014,Imore,Tomas,MT,636,Carpet,6.4692,2.25,2.1,1431,1335.6,2945.576887
39300,01/22/1995,Moscon,Allsun,CA,123,Wood,5.7454,5.15,4.75,633.45,584.25,1287.661736
18817,10/22/2011,Pagelsen,Flinn,TX,874,Wood,5.4759,5.15,4.75,4501.1,4151.5,9126.407723
81215,08/03/2009,Speek,Belita,OH,643,Tile,6.673,1.75,2.1,1125.25,1350.3,2640.743452
75684,07/08/2010,Roderham,Margalit,IA,833,Carpet,5.7734,2.25,2.1,1874.25,1749.3,3832.752036
36901,06/21/2006,Carah,Tallie,CA,193,Tile,6.9699,1.75,2.1,337.75,405.3,794.839842
67248,10/06/2002,Bernholt,Dorolice,TX,244,Tile,5.0306,1.75,2.1,427,512.4,986.6574564
71525,07/08/2000,Valerius,Katy,IN,267,Tile,6.9483,1.75,2.1,467.25,560.7,1099.37505
88974,05/09/2008,Drysdell,Layla,MO,388,Tile,5.3004,1.75,2.1,679,814.8,1572.977375
29696,07/20/2010,Jocelyn,Christabel,TX,441,Tile,5.1996,1.75,2.1,771.75,926.1,1786.131409
40499,12/01/1997,Olsson,Jarib,TX,203,Wood,5.8862,5.15,4.75,1045.45,964.25,2127.994961
56704,04/27/2008,Molan,Augustin,VA,603,Wood,6.3885,5.15,4.75,3105.45,2864.25,6351.074285
70935,02/04/1995,Heam,Ranee,NE,358,Tile,6.7886,1.75,2.1,626.5,751.8,1471.867274
27001,09/15/2017,Jennrich,Julian,KS,549,Carpet,5.3465,2.25,2.1,1235.25,1152.9,2515.83244
57092,01/29/2001,Tolcharde,Emory,MN,214,Tile,5.2576,1.75,2.1,374.5,449.4,867.2173664
42010,01/18/2007,McAreavey,Urbain,FL,425,Laminate,6.7457,3.5,4.15,1487.5,1763.75,3470.569571
78039,01/14/1996,Bondesen,Isidoro,KS,545,Laminate,6.0507,3.5,4.15,1907.5,2261.75,4421.51881
55619,07/18/2008,Sutch,Lucila,FL,897,Tile,5.7208,1.75,2.1,1569.75,1883.7,3651.014968
53705,07/28/2010,Keyme,Angie,WI,610,Carpet,5.5829,2.25,2.1,1372.5,1281,2801.642252
48226,06/08/2003,Glasebrook,Coleen,MD,762,Carpet,6.5891,2.25,2.1,1714.5,1600.2,3533.108898
12599,03/25/2011,Creggan,Dyan,OH,562,Carpet,6.413,2.25,2.1,1264.5,1180.2,2601.478611
18626,05/22/1995,Murrock,Bonny,LA,575,Laminate,6.3722,3.5,4.15,2012.5,2386.25,4679.047148
14123,02/17/2000,Gallo,Howie,DC,228,Carpet,6.6305,2.25,2.1,513,478.8,1057.561299
68243,12/11/1996,Garber,Isak,FL,513,Laminate,5.5271,3.5,4.15,1795.5,2128.95,4141.358276
34005,03/11/2008,Carnow,Jeanette,LA,504,Carpet,5.0847,2.25,2.1,1134,1058.4,2303.876963
65457,02/22/1997,Abrahmson,Virginie,NH,993,Laminate,5.1587,3.5,4.15,3475.5,4120.95,7988.328066
43940,06/24/2017,De Andisie,Jarrod,TX,505,Carpet,5.5485,2.25,2.1,1136.25,1060.5,2318.636674
83469,01/08/2008,Gemnett,Adelaide,WV,199,Wood,6.1008,5.15,4.75,1024.85,945.25,2090.291861
26018,02/15/2004,Clelle,Joyann,AZ,259,Tile,6.7457,1.75,2.1,453.25,543.9,1064.414748
57564,03/28/1996,Blampied,Lynnet,TX,337,Wood,5.1743,5.15,4.75,1735.55,1600.75,3508.930171
79539,04/04/2015,Garforth,Tadeas,CT,846,Tile,6.9489,1.75,2.1,1480.5,1776.6,3483.432622
21519,06/07/1996,Deighan,Mona,FL,134,Carpet,5.4106,2.25,2.1,301.5,281.4,614.4383874
34709,10/04/2010,Zettler,Dulcia,FL,533,Carpet,5.7207,2.25,2.1,1199.25,1119.3,2451.18729
34944,07/13/2012,Beckitt,Colline,CA,961,Tile,6.6586,1.75,2.1,1681.75,2018.1,3946.208212
