Order Number,first_name,last_name,State,Area,Material,Tax,CPSF,LCPSF,MaterialCost,LaborCost,TotalCost
73487,Emmalyn,Marcam,VA,487,Tile,6.6318,1.75,2.1,852.25,1022.7,1999.2929341
28629,Renee,Joincey,DC,525,Laminate,5.9003,3.5,4.15,1837.5,2178.75,4253.22079875
23574,Verene,Springtorp,CA,299,Tile,5.6971,1.75,2.1,523.25,627.9,1216.73216665
36145,Evangelia,McGing,OH,100,Tile,6.5696,1.75,2.1,175,210,410.29296
53363,Bryana,Bentick,KS,531,Laminate,5.7175,3.5,4.15,1858.5,2203.65,4294.40342625
56920,Valina,Crapper,FL,332,Tile,5.831,1.75,2.1,581,697.2,1352.731842
20225,Chicky,Rubbens,TX,647,Laminate,6.613,3.5,4.15,2264.5,2685.05,5276.8637415
56294,Kenton,Tolotti,TN,831,Tile,5.2486,1.75,2.1,1454.25,1745.1,3367.2710841
12964,Frankie,Scott,NE,324,Wood,6.9881,5.15,4.75,1668.6,1539,3431.7502956
34817,Gaby,Fine,CO,445,Carpet,5.2562,2.25,2.1,1001.25,934.5,2037.4968915
60837,Colin,Waddicor,NY,763,Carpet,5.7022,2.25,2.1,1716.75,1602.3,3508.3088691
85512,Bamby,Juschke,CA,311,Wood,6.2469,5.15,4.75,1601.65,1477.25,3271.2358041
35342,Jacob,Renol,FL,413,Laminate,6.7234,3.5,4.15,1445.5,1713.95,3371.8724613
31946,Christiano,Donnelly,FL,988,Carpet,6.1948,2.25,2.1,2223,2074.8,4564.0401144
26404,Rainer,Pellew,AL,654,Carpet,5.9391,2.25,2.1,1471.5,1373.4,3013.8614559
69550,Christin,Negro,TN,445,Tile,6.3513,1.75,2.1,778.75,934.5,1822.06364725
56573,Antonie,Denzilow,NY,805,Tile,5.8123,1.75,2.1,1408.75,1690.5,3279.38770775
17785,Hannah,Kilpatrick,VA,269,Tile,5.7181,1.75,2.1,470.75,564.9,1094.86950265
50265,Elizabet,Langfitt,MI,367,Tile,5.2197,1.75,2.1,642.25,770.7,1486.70175115
49669,Jecho,Thring,VA,433,Carpet,6.2398,2.25,2.1,974.25,909.3,2001.0797529
46257,Allis,Melville,IN,626,Wood,6.9587,5.15,4.75,3223.9,2973.5,6628.6584738
24973,Forest,Bernardoni,DC,709,Laminate,6.7903,3.5,4.15,2481.5,2942.35,5792.14568655
23809,Maud,Girkins,TX,234,Laminate,5.9887,3.5,4.15,819,971.1,1897.3037187
24089,Ely,Brilon,VA,264,Wood,5.0551,5.15,4.75,1359.6,1254,2745.7200936
36570,Arlen,Itscovitz,VA,288,Tile,6.6677,1.75,2.1,504,604.8,1182.7314576
30443,Florie,Dunnaway,CA,834,Carpet,5.0408,2.25,2.1,1876.5,1751.4,3810.7751832
38442,Clare,Cornelleau,NC,776,Laminate,6.4398,3.5,4.15,2716,3220.4,6318.6922872
82304,Goraud,Stallworthy,IL,258,Tile,5.9999,1.75,2.1,451.5,541.8,1052.8970067000001059999
31457,Sondra,Giral,LA,234,Laminate,5.8295,3.5,4.15,819,971.1,1894.4538795
72819,Ethelred,Upcott,MA,278,Wood,5.0195,5.15,4.75,1431.7,1320.5,2890.346679
56813,Lynsey,Drakeley,NC,413,Wood,6.0862,5.15,4.75,2126.95,1961.75,4337.5464594
42359,Biron,Larive,TX,735,Laminate,5.8718,3.5,4.15,2572.5,3050.25,5952.9066345
26731,Barnebas,Mumbey,GA,214,Wood,5.9798,5.15,4.75,1102.1,1016.5,2245.2880428
77118,Mozes,Grouen,AZ,736,Wood,5.7975,5.15,4.75,3790.4,3496,7708.82904
35420,Belita,Hatry,AL,879,Wood,6.4717,5.15,4.75,4526.85,4175.25,9265.2738057
64996,Bram,Molyneaux,CA,261,Laminate,6.8115,3.5,4.15,913.5,1083.15,2132.65181475
47404,Josee,Parfrey,PA,892,Tile,5.0102,1.75,2.1,1561,1873.2,3606.2602884
64320,Guillermo,Penelli,WI,980,Carpet,5.2418,2.25,2.1,2205,2058,4486.457934
58182,Kitty,Grist,FL,432,Tile,6.1369,1.75,2.1,756,907.2,1765.2689208
16471,Alexander,Plessing,NC,426,Wood,5.1318,5.15,4.75,2193.9,2023.5,4433.8285332
52012,Jaymie,Mabon,KS,331,Wood,5.996,5.15,4.75,1704.65,1572.25,3473.382924
15586,Bradley,McNalley,CA,822,Wood,5.2313,5.15,4.75,4233.3,3904.5,8563.5127314
74907,Perceval,Putterill,TX,249,Carpet,6.5482,2.25,2.1,560.25,522.9,1154.0768283
74902,Maighdiln,Downage,AL,617,Carpet,6.9543,2.25,2.1,1388.25,1295.7,2870.59993485
58106,Gus,Godfroy,LA,172,Wood,6.838,5.15,4.75,885.8,817,1819.237464
33705,Keane,Hackforth,PA,229,Carpet,6.4437,2.25,2.1,515.25,480.9,1060.3389175500001064437
36480,Willyt,Moscrop,MI,585,Wood,5.369,5.15,4.75,3012.75,2778.75,6102.445635
21238,Vicky,Binding,TX,200,Laminate,6.9568,3.5,4.15,700,830,1636.43904
16183,Mandi,Blundel,CA,970,Laminate,5.0403,3.5,4.15,3395,4025.5,7794.5154615
31435,Emile,Aiton,IN,711,Tile,5.1576,1.75,2.1,1244.25,1493.1,2878.5315636
25458,Raynard,Skegg,SC,936,Wood,6.2913,5.15,4.75,4820.4,4446,9849.377023200001062913
21224,Dukie,Tallis,TX,668,Carpet,5.4576,2.25,2.1,1503,1402.8,3064.3869408
70440,Alanah,Cleare,CA,772,Laminate,5.6914,3.5,4.15,2702,3203.8,6241.9227012
26784,Modestia,Bolzmann,OH,789,Tile,5.5176,1.75,2.1,1380.75,1656.9,3205.2553764
20932,Sindee,Bruneton,DC,238,Carpet,6.5602,2.25,2.1,535.5,499.8,1103.2177506
50960,Berrie,Corneck,VA,677,Carpet,6.9368,2.25,2.1,1523.25,1421.7,3149.2352916
87795,Wesley,Nisot,OH,452,Laminate,6.3257,3.5,4.15,1582,1875.8,3676.5300546
78120,Aubrie,Kevlin,AZ,611,Tile,5.5957,1.75,2.1,1069.25,1283.1,2483.98044895
23355,Lazaro,Sowle,MI,945,Tile,5.6818,1.75,2.1,1653.75,1984.5,3844.9680885
80680,Cilka,O'Nowlan,FL,467,Wood,6.8483,5.15,4.75,2405.05,2218.25,4939.9174539
83214,Herrick,Gremain,NM,380,Laminate,6.7962,3.5,4.15,1330,1577,3104.565534
43639,Teri,Seadon,NY,354,Laminate,5.5593,3.5,4.15,1239,1469.1,2858.6514033
38727,Broddy,Attarge,AR,860,Wood,6.9765,5.15,4.75,4429,4085,9107.97921
11398,Jada,Churchard,IL,635,Laminate,6.1437,3.5,4.15,2222.5,2635.25,5156.19558675
79000,Eadmund,Kalinowsky,OH,299,Carpet,6.5933,2.25,2.1,672.75,627.9,1386.40575645
86229,Rodolphe,Van Halen,MN,617,Tile,5.4465,1.75,2.1,1079.75,1295.7,2504.82888425
87249,Gilberte,Nesbitt,NJ,842,Tile,6.5332,1.75,2.1,1473.5,1768.2,3453.4867444
39904,Willi,Powdrill,KS,740,Tile,6.7259,1.75,2.1,1295,1554,3040.620891
51676,Matteo,Plaice,NE,882,Laminate,6.4309,3.5,4.15,3087,3660.3,7181.2121157
77573,Walden,Bodimeade,AZ,443,Carpet,6.6801,2.25,2.1,996.75,930.3,2055.77886705
34696,Cherie,Iashvili,CA,124,Tile,6.5405,1.75,2.1,217,260.4,508.624347
25773,Vivyanne,Trevarthen,NC,555,Carpet,5.9952,2.25,2.1,1248.75,1165.5,2558.989116
15927,Shelton,Paffett,WV,583,Tile,6.5106,1.75,2.1,1020.25,1224.3,2390.6836723
58571,Orrin,Fulham,IN,781,Laminate,5.5684,3.5,4.15,2733.5,3241.15,6307.3424106
51149,Clark,Boden,NY,158,Tile,5.3567,1.75,2.1,276.5,331.8,640.8848061
16565,Steward,Pembry,AL,450,Wood,6.572,5.15,4.75,2317.5,2137.5,4747.7826
59356,Ebenezer,Greville,CO,576,Laminate,6.0248,3.5,4.15,2016,2390.4,4671.8767872
12509,Blithe,Axten,OR,293,Laminate,5.3066,3.5,4.15,1025.5,1215.95,2360.3947857
48267,Georgeanne,Aicheson,MN,568,Wood,5.6254,5.15,4.75,2925.2,2698,5939.527492800001056254
65100,Cissiee,Winckle,NC,806,Carpet,6.7072,2.25,2.1,1813.5,1692.6,3741.2611392
61203,Gabey,Greeve,GA,570,Laminate,6.6857,3.5,4.15,1995,2365.5,4652.0299485
72197,D'arcy,McClinton,CA,977,Wood,6.0706,5.15,4.75,5031.55,4640.75,10259.466643799998939294
83698,Janeva,Manwell,CA,693,Wood,5.6035,5.15,4.75,3568.95,3291.75,7245.139324500001056035
79721,Cyndy,Abotson,ID,666,Laminate,6.3532,3.5,4.15,2331,2763.9,5418.5891868
87480,Gradeigh,Measures,PA,144,Carpet,5.9055,2.25,2.1,324,302.4,663.3920520000001059055
16825,Karoly,Annand,CO,668,Tile,6.3008,1.75,2.1,1169,1402.8,2733.8439744
46466,Leilah,Finn,AR,952,Wood,5.7824,5.15,4.75,4902.8,4522,9969.779635199998942176
53180,Omero,Cudby,TX,170,Laminate,5.0723,3.5,4.15,595,705.5,1366.4652615
34268,Andre,Diem,TX,362,Wood,5.4888,5.15,4.75,1864.3,1719.5,3780.5076144
34903,Olva,Reeken,NY,191,Tile,6.7821,1.75,2.1,334.25,401.1,785.22217235
68987,Briggs,Fogt,FL,832,Tile,6.6521,1.75,2.1,1456,1747.2,3416.2800672
67625,Zia,Mavin,GA,425,Laminate,6.262,3.5,4.15,1487.5,1763.75,3454.843275
55547,Gilberte,Wearden,CA,613,Carpet,6.2139,2.25,2.1,1379.25,1287.3,2832.24675045
87630,Lorrie,Hendrich,IA,946,Laminate,6.276,3.5,4.15,3311,3925.9,7691.08784400000106276
32441,Windham,Brayson,NM,121,Wood,5.2085,5.15,4.75,623.15,574.75,1260.2926215
44523,Trev,Jakubiak,NY,302,Tile,6.0429,1.75,2.1,528.5,634.2,1232.9607983
52920,Dynah,Rozycki,TX,597,Carpet,6.4047,2.25,2.1,1343.25,1253.7,2763.27685665
45570,Tiphany,Diddams,WA,703,Wood,6.126,5.15,4.75,3620.45,3339.25,7386.05122200000106126
75173,Elyssa,Coytes,PA,559,Laminate,6.864,3.5,4.15,1956.5,2319.85,4569.878664
76114,Oneida,Ingliss,MO,540,Tile,5.5616,1.75,2.1,945,1134,2194.625664
19334,Lorrie,Whittier,CA,859,Wood,5.2552,5.15,4.75,4423.85,4080.25,8951.0074632
48470,Rozele,Band,CA,297,Wood,5.3916,5.15,4.75,1529.55,1410.75,3098.8292148
15204,Nadean,Abramowitch,TX,776,Laminate,5.3352,3.5,4.15,2716,3220.4,6253.1188128
64708,Basilius,Stoade,AR,316,Laminate,5.0097,3.5,4.15,1106,1311.4,2538.5044878
34630,Brok,Mosson,MA,816,Tile,5.0609,1.75,2.1,1428,1713.6,3300.5932344
48584,Friedrich,Laver,LA,589,Wood,6.8487,5.15,4.75,3033.35,2797.75,6230.4545457
14283,Frederich,Oliva,TN,328,Carpet,6.3532,2.25,2.1,738,688.8,1517.4474576
46671,Bride,Giblin,NY,368,Tile,6.696,1.75,2.1,644,772.8,1511.668928
60241,Johann,Vallens,AL,397,Tile,6.1559,1.75,2.1,694.75,833.7,1622.53985355
81967,Orsa,Grouer,WA,572,Laminate,5.7619,3.5,4.15,2002,2373.8,4627.9292202
49981,Dalis,Misk,FL,187,Carpet,5.6851,2.25,2.1,420.75,392.7,859.69544595
65805,Rutter,Deackes,LA,118,Tile,5.4236,1.75,2.1,206.5,247.8,478.9394148
49226,Katuscha,Ashborn,PA,156,Tile,6.9051,1.75,2.1,273,327.6,642.0720306
25778,Wren,Colyer,TX,290,Wood,5.2449,5.15,4.75,1493.5,1377.5,3021.581079
18220,Freddi,Ingham,ID,783,Wood,6.7054,5.15,4.75,4032.45,3719.25,8271.482491800001067054
59525,Justino,Harkins,CA,550,Tile,5.4931,1.75,2.1,962.5,1155,2233.8163925
59968,Jilli,Theseira,TN,412,Wood,5.2217,5.15,4.75,2121.8,1957,4291.7826996
71844,Katti,Tuerena,TX,684,Tile,6.12,1.75,2.1,1197,1436.4,2794.56408
13539,Buiron,Douris,OR,560,Laminate,5.842,3.5,4.15,1960,2324,4534.27128
16332,Lorraine,Hinkensen,VA,398,Tile,5.8127,1.75,2.1,696.5,835.8,1621.3680021
86674,Earl,Leroy,NC,664,Tile,6.2905,1.75,2.1,1162,1394.4,2717.210342
53578,Phelia,Willgress,OH,510,Tile,5.0313,1.75,2.1,892.5,1071,2062.2895755
80091,Nydia,Wetter,IL,912,Tile,5.9479,1.75,2.1,1596,1915.2,3720.0426648
13495,Kris,Arnopp,VA,471,Laminate,5.6373,3.5,4.15,1648.5,1954.65,3806.27037495
62140,Sven,Hullett,LA,256,Carpet,6.4085,2.25,2.1,576,537.6,1184.965056
82844,Grethel,MacGhee,MI,390,Carpet,5.5412,2.25,2.1,877.5,819,1790.506458
10682,Brunhilde,Brodley,IL,957,Tile,5.9765,1.75,2.1,1674.75,2009.7,3904.65115425
61832,Ritchie,Gwinnell,TX,160,Wood,5.3557,5.15,4.75,824,760,1668.834288
79566,Talbot,Lamberton,OR,650,Laminate,5.3185,3.5,4.15,2275,2697.5,5236.9624125
82783,Gerome,Berthot,NC,639,Tile,6.3615,1.75,2.1,1118.25,1341.9,2616.65244225
62699,Abelard,Dawnay,TN,819,Tile,6.138,1.75,2.1,1433.25,1719.9,3346.690347
30226,Noe,Remmers,KY,263,Wood,5.496,5.15,4.75,1354.45,1249.25,2746.799352
23304,Margarete,MacChaell,DE,941,Laminate,5.4065,3.5,4.15,3293.5,3905.15,7587.845012250001054065
29732,Rollo,Tabner,SD,335,Tile,5.3358,1.75,2.1,586.25,703.5,1358.5684805
65052,Elyn,Gardiner,UT,501,Wood,6.0976,5.15,4.75,2580.15,2379.75,5262.3348624
87865,Denys,MacKeeg,OH,321,Wood,5.7067,5.15,4.75,1653.15,1524.75,3359.2532193
84618,Davis,Bengough,NY,300,Tile,5.657,1.75,2.1,525,630,1220.33835
20398,Adelbert,Jedrzaszkiewicz,TX,974,Tile,6.726,1.75,2.1,1704.5,2045.4,4002.118274
89846,Claudetta,Tuckwood,TX,718,Wood,6.298,5.15,4.75,3697.7,3410.5,7555.87443600000106298
37602,Crichton,Cristou,CA,949,Carpet,5.6084,2.25,2.1,2135.25,1992.9,4359.6731646
48141,Nariko,Scarisbrick,MO,652,Tile,5.1783,1.75,2.1,1141,1369.2,2640.1856866
14999,Carroll,Toffanini,NY,464,Tile,6.8509,1.75,2.1,812,974.4,1908.7844776
47345,Genny,Papaminas,IN,409,Wood,5.7219,5.15,4.75,2106.35,1942.75,4280.7854529
27962,Vinnie,Morphey,NJ,398,Carpet,6.8131,2.25,2.1,895.5,835.8,1849.2552003
32154,Frank,Bernaciak,PA,503,Laminate,5.139,3.5,4.15,1760.5,2087.45,4045.6961505
80316,Shaine,Hansbury,CA,826,Wood,5.7285,5.15,4.75,4253.9,3923.5,8645.842359000001057285
52683,Herman,Rolf,NC,268,Tile,6.7494,1.75,2.1,469,562.8,1101.4403092
85437,Huntington,Barthel,NC,187,Laminate,5.879,3.5,4.15,654.5,776.05,1514.6520345
24703,Corbin,Chatteris,MN,716,Wood,6.1548,5.15,4.75,3687.4,3401,7524.6768432
79469,Budd,Whitloe,CA,316,Carpet,6.9056,2.25,2.1,711,663.6,1469.5243776
22981,Lilly,Stubley,MD,660,Carpet,5.6502,2.25,2.1,1485,1386,3033.217242
16691,Etty,Alyokhin,FL,484,Laminate,5.0745,3.5,4.15,1694,2008.6,3890.488437
18061,Amitie,McKeag,OH,435,Carpet,5.0986,2.25,2.1,978.75,913.5,1988.7282585
80854,Charmaine,Van de Castele,TX,419,Wood,6.5977,5.15,4.75,2157.85,1990.25,4421.7791937
27904,Sheila,Tolossi,WV,210,Tile,5.0438,1.75,2.1,367.5,441,849.279123
45505,Jeana,Schechter,MN,863,Carpet,6.4483,2.25,2.1,1941.75,1812.3,3996.12240615
39920,Jabez,Standon,IN,694,Laminate,5.9326,3.5,4.15,2429,2880.1,5624.0676666
12671,Hillary,Pannett,CA,694,Tile,6.1695,1.75,2.1,1214.5,1457.4,2836.7428705
60643,Carolus,McKeeman,TN,753,Carpet,6.5098,2.25,2.1,1694.25,1581.3,3488.7817539
86736,Alanna,Aukland,PA,633,Tile,6.569,1.75,2.1,1107.75,1329.3,2597.1398145
85698,Carmelina,Bramble,NE,821,Tile,5.7394,1.75,2.1,1436.75,1724.1,3342.2638249
47149,Harri,Emmerson,FL,981,Laminate,5.7829,3.5,4.15,3433.5,4071.15,7938.636404850001057829
73477,Lilyan,Melding,NY,328,Laminate,5.3976,3.5,4.15,1148,1361.2,2644.6365792
60433,Evelyn,Branthwaite,CT,451,Laminate,6.8617,3.5,4.15,1578.5,1871.65,3686.88894255
45932,Fidelity,Ceillier,TX,587,Tile,6.8357,1.75,2.1,1027.25,1232.7,2414.43340215
63990,Konstance,Rouff,MA,221,Wood,6.3158,5.15,4.75,1138.15,1049.75,2326.0833882
48758,Terri,Jachtym,IL,216,Carpet,6.389,2.25,2.1,486,453.6,999.631044
68809,Stavros,Altamirano,MO,686,Laminate,5.3567,3.5,4.15,2401,2846.9,5529.0142593
13791,Fredrika,Fossey,AR,860,Laminate,6.5944,3.5,4.15,3010,3569,7012.845576
85315,Ozzy,Gossipin,CA,954,Laminate,6.1218,3.5,4.15,3339,3959.1,7744.8750858
30196,Melisande,Pawlata,NC,248,Laminate,5.7016,3.5,4.15,868,1029.2,2005.3707552
12855,Tomas,Imore,MT,636,Carpet,6.4692,2.25,2.1,1431,1335.6,2945.5768872
39300,Allsun,Moscon,CA,123,Wood,5.7454,5.15,4.75,633.45,584.25,1287.6617358
18817,Flinn,Pagelsen,TX,874,Wood,5.4759,5.15,4.75,4501.1,4151.5,9126.4077234
81215,Belita,Speek,OH,643,Tile,6.673,1.75,2.1,1125.25,1350.3,2640.7434515
75684,Margalit,Roderham,IA,833,Carpet,5.7734,2.25,2.1,1874.25,1749.3,3832.7520357
36901,Tallie,Carah,CA,193,Tile,6.9699,1.75,2.1,337.75,405.3,794.83984195
67248,Dorolice,Bernholt,TX,244,Tile,5.0306,1.75,2.1,427,512.4,986.6574564
71525,Katy,Valerius,IN,267,Tile,6.9483,1.75,2.1,467.25,560.7,1099.37504985
88974,Layla,Drysdell,MO,388,Tile,5.3004,1.75,2.1,679,814.8,1572.9773752
29696,Christabel,Jocelyn,TX,441,Tile,5.1996,1.75,2.1,771.75,926.1,1786.1314086
40499,Jarib,Olsson,TX,203,Wood,5.8862,5.15,4.75,1045.45,964.25,2127.9949614
56704,Augustin,Molan,VA,603,Wood,6.3885,5.15,4.75,3105.45,2864.25,6351.074284500001063885
70935,Ranee,Heam,NE,358,Tile,6.7886,1.75,2.1,626.5,751.8,1471.8672738
27001,Julian,Jennrich,KS,549,Carpet,5.3465,2.25,2.1,1235.25,1152.9,2515.83243975
57092,Emory,Tolcharde,MN,214,Tile,5.2576,1.75,2.1,374.5,449.4,867.2173664000001052576
42010,Urbain,McAreavey,FL,425,Laminate,6.7457,3.5,4.15,1487.5,1763.75,3470.56957125
78039,Isidoro,Bondesen,KS,545,Laminate,6.0507,3.5,4.15,1907.5,2261.75,4421.51880975
55619,Lucila,Sutch,FL,897,Tile,5.7208,1.75,2.1,1569.75,1883.7,3651.0149676
53705,Angie,Keyme,WI,610,Carpet,5.5829,2.25,2.1,1372.5,1281,2801.6422515
48226,Coleen,Glasebrook,MD,762,Carpet,6.5891,2.25,2.1,1714.5,1600.2,3533.1088977
12599,Dyan,Creggan,OH,562,Carpet,6.413,2.25,2.1,1264.5,1180.2,2601.478611
18626,Bonny,Murrock,LA,575,Laminate,6.3722,3.5,4.15,2012.5,2386.25,4679.0471475
14123,Howie,Gallo,DC,228,Carpet,6.6305,2.25,2.1,513,478.8,1057.561299
68243,Isak,Garber,FL,513,Laminate,5.5271,3.5,4.15,1795.5,2128.95,4141.35827595
34005,Jeanette,Carnow,LA,504,Carpet,5.0847,2.25,2.1,1134,1058.4,2303.8769628
65457,Virginie,Abrahmson,NH,993,Laminate,5.1587,3.5,4.15,3475.5,4120.95,7988.328066150001051587
43940,Jarrod,De Andisie,TX,505,Carpet,5.5485,2.25,2.1,1136.25,1060.5,2318.63667375
83469,Adelaide,Gemnett,WV,199,Wood,6.1008,5.15,4.75,1024.85,945.25,2090.2918608
26018,Joyann,Clelle,AZ,259,Tile,6.7457,1.75,2.1,453.25,543.9,1064.41474755
57564,Lynnet,Blampied,TX,337,Wood,5.1743,5.15,4.75,1735.55,1600.75,3508.9301709
79539,Tadeas,Garforth,CT,846,Tile,6.9489,1.75,2.1,1480.5,1776.6,3483.4326219
21519,Mona,Deighan,FL,134,Carpet,5.4106,2.25,2.1,301.5,281.4,614.4383874000001054106
34709,Dulcia,Zettler,FL,533,Carpet,5.7207,2.25,2.1,1199.25,1119.3,2451.18728985
34944,Colline,Beckitt,CA,961,Tile,6.6586,1.75,2.1,1681.75,2018.1,3946.2082121
68282,Robbi,Shallcrass,NV,702,Tile,6.9056,1.75,2.1,1228.5,1474.2,2889.3376512
31901,Raymond,East,AZ,978,Wood,5.1046,5.15,4.75,5036.7,4645.5,10176.437581200001051046
39669,Heidie,Kyndred,CA,514,Carpet,5.0874,2.25,2.1,1156.5,1079.4,2349.6491766
74500,Jerrome,Crawford,CO,541,Laminate,5.8684,3.5,4.15,1893.5,2245.15,4381.5225366
67343,Salem,Frankish,FL,478,Wood,5.511,5.15,4.75,2461.7,2270.5,4992.99154200000105511
65643,Enrika,Goracci,IA,180,Wood,5.1235,5.15,4.75,927,855,1873.30077
68293,Land,Reddecliffe,TX,172,Wood,5.5656,5.15,4.75,885.8,817,1797.5710368
69767,Kylynn,Grills,FL,216,Wood,6.7022,5.15,4.75,1112.4,1026,2281.7198448
44122,Evelyn,Grimsdike,FL,605,Laminate,5.6471,3.5,4.15,2117.5,2510.75,4889.61190575
44306,Quincy,Agus,WI,599,Carpet,5.5143,2.25,2.1,1347.75,1257.9,2749.33335795
24893,Benton,Colson,CA,298,Carpet,6.4465,2.25,2.1,670.5,625.8,1379.8659795
20058,Rolf,Rudgley,NE,865,Carpet,6.7516,2.25,2.1,1946.25,1816.5,4016.795829
80903,Val,Treweela,IL,890,Carpet,5.264,2.25,2.1,2002.5,1869,4075.29576
24119,Oneida,Ivimy,IL,811,Tile,5.6046,1.75,2.1,1419.25,1703.1,3297.3452281
39893,El,Trimbey,MO,269,Carpet,6.1077,2.25,2.1,605.25,564.9,1241.61925155
21247,Rodi,Lewsam,NY,221,Carpet,6.5111,2.25,2.1,497.25,464.1,1023.94445985
43957,Crystal,Cowndley,TX,342,Laminate,5.0613,3.5,4.15,1197,1419.3,2748.7187919
34687,Corella,Klaff,AZ,931,Carpet,5.3883,2.25,2.1,2094.75,1955.1,4268.06806755
48174,Marys,Routledge,IN,565,Wood,5.8063,5.15,4.75,2909.75,2683.75,5918.2753905
62268,Petra,Beams,PA,457,Tile,5.0045,1.75,2.1,799.75,959.7,1847.50167525
83253,Bevin,Garrals,TX,346,Tile,5.241,1.75,2.1,605.5,726.6,1401.915361
69099,Kerk,Allerton,FL,402,Carpet,6.4142,2.25,2.1,904.5,844.2,1860.8651154
22666,Florella,Behrend,PA,663,Tile,6.7215,1.75,2.1,1160.25,1392.3,2724.11964825
38214,Leena,Tryhorn,NY,786,Laminate,5.5133,3.5,4.15,2751,3261.9,6344.4092157
18900,Lindie,Rowly,FL,327,Laminate,5.1431,3.5,4.15,1144.5,1357.05,2630.20721805
63480,Hillery,Tinghill,IL,973,Laminate,5.3569,3.5,4.15,3405.5,4037.95,7842.188173050001053569
37770,Aylmer,Nolton,VA,232,Carpet,6.4262,2.25,2.1,522,487.2,1074.0532104
52407,Bobby,Dayment,OH,517,Carpet,6.2308,2.25,2.1,1163.25,1085.7,2389.0775766
